0,- Alias -,- Group -,- Encoding -,"#S = immediate (I=1). S = register.
103,alias,Register Indirection,EEEE 1001010 101 DDDDDDDDD 000000000,ALTSN   D,"Alter subsequent SETNIB instruction. Next D field = D[11:3], N field = D[2:0].",2,same,2,same,D,,,
104,.,Register Indirection,EEEE 1001010 11I DDDDDDDDD SSSSSSSSS,"ALTGN   D,{#}S","Alter subsequent GETNIB/ROLNIB instruction. Next S field = (D[11:3] + S) & $1FF, N field = D[2:0].   D += sign-extended S[17:9].",2,same,2,same,D,,,
105,alias,Register Indirection,EEEE 1001010 111 DDDDDDDDD 000000000,ALTGN   D,"Alter subsequent GETNIB/ROLNIB instruction. Next S field = D[11:3], N field = D[2:0].",2,same,2,same,D,,,
106,.,Register Indirection,EEEE 1001011 00I DDDDDDDDD SSSSSSSSS,"ALTSB   D,{#}S","Alter subsequent SETBYTE instruction. Next D field = (D[10:2] + S) & $1FF, N field = D[1:0].         D += sign-extended S[17:9].",2,same,2,same,D,,,
107,alias,Register Indirection,EEEE 1001011 001 DDDDDDDDD 000000000,ALTSB   D,"Alter subsequent SETBYTE instruction. Next D field = D[10:2], N field = D[1:0].",2,same,2,same,D,,,
108,.,Register Indirection,EEEE 1001011 01I DDDDDDDDD SSSSSSSSS,"ALTGB   D,{#}S","Alter subsequent GETBYTE/ROLBYTE instruction. Next S field = (D[10:2] + S) & $1FF, N field = D[1:0]. D += sign-extended S[17:9].",2,same,2,same,D,,,
109,alias,Register Indirection,EEEE 1001011 011 DDDDDDDDD 000000000,ALTGB   D,"Alter subsequent GETBYTE/ROLBYTE instruction. Next S field = D[10:2], N field = D[1:0].",2,same,2,same,D,,,
110,.,Register Indirection,EEEE 1001011 10I DDDDDDDDD SSSSSSSSS,"ALTSW   D,{#}S","Alter subsequent SETWORD instruction. Next D field = (D[9:1] + S) & $1FF, N field = D[0].            D += sign-extended S[17:9].",2,same,2,same,D,,,
111,alias,Register Indirection,EEEE 1001011 101 DDDDDDDDD 000000000,ALTSW   D,"Alter subsequent SETWORD instruction. Next D field = D[9:1], N field = D[0].",2,same,2,same,D,,,
112,.,Register Indirection,EEEE 1001011 11I DDDDDDDDD SSSSSSSSS,"ALTGW   D,{#}S","Alter subsequent GETWORD/ROLWORD instruction. Next S field = ((D[9:1] + S) & $1FF), N field = D[0].  D += sign-extended S[17:9].",2,same,2,same,D,,,
113,alias,Register Indirection,EEEE 1001011 111 DDDDDDDDD 000000000,ALTGW   D,"Alter subsequent GETWORD/ROLWORD instruction. Next S field = D[9:1], N field = D[0].",2,same,2,same,D,,,
114,.,Register Indirection,EEEE 1001100 00I DDDDDDDDD SSSSSSSSS,"ALTR    D,{#}S",Alter result register address (normally D field) of next instruction to (D + S) & $1FF.              D += sign-extended S[17:9].,2,same,2,same,D,,,
115,alias,Register Indirection,EEEE 1001100 001 DDDDDDDDD 000000000,ALTR    D,Alter result register address (normally D field) of next instruction to D[8:0].,2,same,2,same,D,,,
116,.,Register Indirection,EEEE 1001100 01I DDDDDDDDD SSSSSSSSS,"ALTD    D,{#}S",Alter D field of next instruction to (D + S) & $1FF.                                                 D += sign-extended S[17:9].,2,same,2,same,D,,,
117,alias,Register Indirection,EEEE 1001100 011 DDDDDDDDD 000000000,ALTD    D,Alter D field of next instruction to D[8:0].,2,same,2,same,D,,,
118,.,Register Indirection,EEEE 1001100 10I DDDDDDDDD SSSSSSSSS,"ALTS    D,{#}S",Alter S field of next instruction to (D + S) & $1FF.                                                 D += sign-extended S[17:9].,2,same,2,same,D,,,
119,alias,Register Indirection,EEEE 1001100 101 DDDDDDDDD 000000000,ALTS    D,Alter S field of next instruction to D[8:0].,2,same,2,same,D,,,
120,.,Register Indirection,EEEE 1001100 11I DDDDDDDDD SSSSSSSSS,"ALTB    D,{#}S",Alter D field of next instruction to (D[13:5] + S) & $1FF.                                           D += sign-extended S[17:9].,2,same,2,same,D,,,
121,alias,Register Indirection,EEEE 1001100 111 DDDDDDDDD 000000000,ALTB    D,Alter D field of next instruction to D[13:5].,2,same,2,same,D,,,
122,.,Register Indirection,EEEE 1001101 00I DDDDDDDDD SSSSSSSSS,"ALTI    D,{#}S","Substitute next instruction's I/R/D/S fields with fields from D, per S. Modify D per S.",2,same,2,same,D,,,
123,alias,Register Indirection,EEEE 1001101 001 DDDDDDDDD 101100100,ALTI    D,Execute D in place of next instruction. D stays same.,2,same,2,same,D,,,
124,.,Math and Logic,EEEE 1001101 01I DDDDDDDDD SSSSSSSSS,"SETR    D,{#}S","Set R field of D to S[8:0]. D = {D[31:28], S[8:0], D[18:0]}.",2,same,2,same,D,,,"SETR_(Dv,S)"
125,.,Math and Logic,EEEE 1001101 10I DDDDDDDDD SSSSSSSSS,"SETD    D,{#}S","Set D field of D to S[8:0]. D = {D[31:18], S[8:0], D[8:0]}.",2,same,2,same,D,,,"SETD_(Dv,S)"
126,.,Math and Logic,EEEE 1001101 11I DDDDDDDDD SSSSSSSSS,"SETS    D,{#}S","Set S field of D to S[8:0]. D = {D[31:9], S[8:0]}.",2,same,2,same,D,,,"SETS_(Dv,S)"
127,.,Math and Logic,EEEE 1001110 00I DDDDDDDDD SSSSSSSSS,"DECOD   D,{#}S",Decode S[4:0] into D. D = 1 << S[4:0].,2,same,2,same,D,,,"DECOD_(Dv,S)"
128,alias,Math and Logic,EEEE 1001110 000 DDDDDDDDD DDDDDDDDD,DECOD   D,Decode D[4:0] into D. D = 1 << D[4:0].,2,same,2,same,D,,,DECOD_(Dv)
129,.,Math and Logic,EEEE 1001110 01I DDDDDDDDD SSSSSSSSS,"BMASK   D,{#}S",Get LSB-justified bit mask of size (S[4:0] + 1) into D. D = ($0000_0002 << S[4:0]) - 1.,2,same,2,same,D,,,"BMASK_(Dv,S)"
130,alias,Math and Logic,EEEE 1001110 010 DDDDDDDDD DDDDDDDDD,BMASK   D,Get LSB-justified bit mask of size (D[4:0] + 1) into D. D = ($0000_0002 << D[4:0]) - 1.,2,same,2,same,D,,,BMASK_(Dv)
131,.,Math and Logic,EEEE 1001110 10I DDDDDDDDD SSSSSSSSS,"CRCBIT  D,{#}S","Iterate CRC value in D using C and polynomial in S. If (C XOR D[0]) then D = (D >> 1) XOR S, else D = (D >> 1).",2,same,2,same,D,,,"CRCBIT_(Dv,S)"
132,.,Math and Logic,EEEE 1001110 11I DDDDDDDDD SSSSSSSSS,"CRCNIB  D,{#}S","Iterate CRC value in D using Q[31:28] and polynomial in S. Like CRCBIT, but 4x. Q = Q << 4. Use SETQ+CRCNIB+CRCNIB+CRCNIB...",2,same,2,same,D,,,"CRCNIB_(Dv,S)"
133,.,Math and Logic,EEEE 1001111 00I DDDDDDDDD SSSSSSSSS,"MUXNITS D,{#}S","For each non-zero bit pair in S, copy that bit pair into the corresponding D bits, else leave that D bit pair the same.",2,same,2,same,D,,,"MUXNITS_(Dv,S)"
134,.,Math and Logic,EEEE 1001111 01I DDDDDDDDD SSSSSSSSS,"MUXNIBS D,{#}S","For each non-zero nibble in S, copy that nibble into the corresponding D nibble, else leave that D nibble the same.",2,same,2,same,D,,,"MUXNIBS_(Dv,S)"
135,.,Math and Logic,EEEE 1001111 10I DDDDDDDDD SSSSSSSSS,"MUXQ    D,{#}S","Used after SETQ. For each '1' bit in Q, copy the corresponding bit in S into D. D = (D & !Q) | (S & Q).",2,same,2,same,D,,,"MUXBYTS_(Dv,S)"
136,.,Math and Logic,EEEE 1001111 11I DDDDDDDDD SSSSSSSSS,"MOVBYTS D,{#}S","Move bytes within D, per S. D = {D.BYTE[S[7:6]], D.BYTE[S[5:4]], D.BYTE[S[3:2]], D.BYTE[S[1:0]]}.",2,same,2,same,D,,,"MOVBYTS_(Dv,S)"
137,.,Math and Logic,EEEE 1010000 0ZI DDDDDDDDD SSSSSSSSS,"MUL     D,{#}S          {WZ}",D = unsigned (D[15:0] * S[15:0]). Z = (S == 0) | (D == 0).,2,same,2,same,D,,,"MUL_(Dv,S)"
138,.,Math and Logic,EEEE 1010000 1ZI DDDDDDDDD SSSSSSSSS,"MULS    D,{#}S          {WZ}",D = signed (D[15:0] * S[15:0]).   Z = (S == 0) | (D == 0).,2,same,2,same,D,,,"MULS_(Dv,S)"
139,.,Math and Logic,EEEE 1010001 0ZI DDDDDDDDD SSSSSSSSS,"SCA     D,{#}S          {WZ}",Next instruction's S value = unsigned (D[15:0] * S[15:0]) >> 16. *,2,same,2,same,,,,"SCA_(Dv,S)"
140,.,Math and Logic,EEEE 1010001 1ZI DDDDDDDDD SSSSSSSSS,"SCAS    D,{#}S          {WZ}","Next instruction's S value = signed (D[15:0] * S[15:0]) >> 14. In this scheme, $4000 = 1.0 and $C000 = -1.0. *",2,same,2,same,,,,"SCAS_(Dv,S)"
141,.,Pixel Mixer,EEEE 1010010 00I DDDDDDDDD SSSSSSSSS,"ADDPIX  D,{#}S","Add bytes of S into bytes of D, with $FF saturation.",7,same,7,same,D,,,"ADDPIX_(Dv,S)"
142,.,Pixel Mixer,EEEE 1010010 01I DDDDDDDDD SSSSSSSSS,"MULPIX  D,{#}S","Multiply bytes of S into bytes of D, where $FF = 1.0.",7,same,7,same,D,,,"MULPIX_(Dv,S)"
143,.,Pixel Mixer,EEEE 1010010 10I DDDDDDDDD SSSSSSSSS,"BLNPIX  D,{#}S","Alpha-blend bytes of S into bytes of D, using SETPIV value.",7,same,7,same,D,,,"BLNPIX_(Dv,S)"
144,.,Pixel Mixer,EEEE 1010010 11I DDDDDDDDD SSSSSSSSS,"MIXPIX  D,{#}S","Mix bytes of S into bytes of D, using SETPIX and SETPIV values.",7,same,7,same,D,,,"MIXPIX_(Dv,S)"
145,.,Events - Configuration,EEEE 1010011 00I DDDDDDDDD SSSSSSSSS,"ADDCT1  D,{#}S",Set CT1 event to trigger on CT = D + S. Adds S into D.,2,same,2,same,D,,,"ADDCT1_(Dv,S)"
146,.,Events - Configuration,EEEE 1010011 01I DDDDDDDDD SSSSSSSSS,"ADDCT2  D,{#}S",Set CT2 event to trigger on CT = D + S. Adds S into D.,2,same,2,same,D,,,"ADDCT2_(Dv,S)"
147,.,Events - Configuration,EEEE 1010011 10I DDDDDDDDD SSSSSSSSS,"ADDCT3  D,{#}S",Set CT3 event to trigger on CT = D + S. Adds S into D.,2,same,2,same,D,,,"ADDCT3_(Dv,S)"
148,.,Hub RAM - Write,EEEE 1010011 11I DDDDDDDDD SSSSSSSSS,"WMLONG  D,{#}S/P",Write only non-$00 bytes in D[31:0] to hub address {#}S/PTRx.     Prior SETQ/SETQ2 invokes cog/LUT block transfer.,3...10 *,3...20 *,3...18 *,3...38 *,,Write,,"WMLONG_(D,S{,Q{,LUT}})"
149,.,Smart Pins,EEEE 1010100 C0I DDDDDDDDD SSSSSSSSS,"RQPIN   D,{#}S          {WC}","Read smart pin S[5:0] result ""Z"" into D, don't acknowledge smart pin (""Q"" in RQPIN means ""quiet""). C = modal result.",2,same,2,same,D,,,"RQPIN_(Dv,S)"
150,.,Smart Pins,EEEE 1010100 C1I DDDDDDDDD SSSSSSSSS,"RDPIN   D,{#}S          {WC}","Read smart pin S[5:0] result ""Z"" into D, acknowledge smart pin. C = modal result.",2,same,2,same,D,,,"RDPIN_(Dv,S)"
151,.,Lookup Table,EEEE 1010101 CZI DDDDDDDDD SSSSSSSSS,"RDLUT   D,{#}S   {WC/WZ/WCZ}",Read LUT data from address S[8:0] into D. C = MSB of data. *,3,same,3,same,D,,,"RDLUT_(Dv,S)"
152,.,Hub RAM - Read,EEEE 1010110 CZI DDDDDDDDD SSSSSSSSS,"RDBYTE  D,{#}S/P {WC/WZ/WCZ}",Read zero-extended byte from hub address {#}S/PTRx into D. C = MSB of byte. *,9...16,9...26,9...24,9...44,D,Read,,"RDBYTE_(Dv,S)"
153,.,Hub RAM - Read,EEEE 1010111 CZI DDDDDDDDD SSSSSSSSS,"RDWORD  D,{#}S/P {WC/WZ/WCZ}",Read zero-extended word from hub address {#}S/PTRx into D. C = MSB of word. *,9...16 *,9...26 *,9...24 *,9...44 *,D,Read,,"RDWORD_(Dv,S)"
154,.,Hub RAM - Read,EEEE 1011000 CZI DDDDDDDDD SSSSSSSSS,"RDLONG  D,{#}S/P {WC/WZ/WCZ}",Read long from hub address {#}S/PTRx into D. C = MSB of long. *   Prior SETQ/SETQ2 invokes cog/LUT block transfer.,9...16 *,9...26 *,9...24 *,9...44 *,D,Read,,"RDLONG_(Dv,S{,Q{,LUT}})"
155,alias,Hub RAM - Read,EEEE 1011000 CZ1 DDDDDDDDD 101011111,POPA    D        {WC/WZ/WCZ},Read long from hub address --PTRA into D. C = MSB of long. *,9...16 *,9...26 *,9...24 *,9...44 *,D,Read,,POPA_(Dv)
156,alias,Hub RAM - Read,EEEE 1011000 CZ1 DDDDDDDDD 111011111,POPB    D        {WC/WZ/WCZ},Read long from hub address --PTRB into D. C = MSB of long. *,9...16 *,9...26 *,9...24 *,9...44 *,D,Read,,POPB_(Dv)
157,.,Branch S - Call,EEEE 1011001 CZI DDDDDDDDD SSSSSSSSS,"CALLD   D,{#}S   {WC/WZ/WCZ}","Call to S** by writing {C, Z, 10'b0, PC[19:0]} to D.                    C = S[31], Z = S[30].",4,13...20,4,13...28,D,,,
158,alias,Branch S - Resume,EEEE 1011001 110 111110000 111110001,RESI3,"Resume from INT3. (CALLD $1F0,$1F1 WC,WZ)",4,13...20,4,13...28,D,,,
159,alias,Branch S - Resume,EEEE 1011001 110 111110010 111110011,RESI2,"Resume from INT2. (CALLD $1F2,$1F3 WC,WZ)",4,13...20,4,13...28,D,,,
160,alias,Branch S - Resume,EEEE 1011001 110 111110100 111110101,RESI1,"Resume from INT1. (CALLD $1F4,$1F5 WC,WZ)",4,13...20,4,13...28,D,,,
161,alias,Branch S - Resume,EEEE 1011001 110 111111110 111111111,RESI0,"Resume from INT0. (CALLD $1FE,$1FF WC,WZ)",4,13...20,4,13...28,D,,,
162,alias,Branch S - Return,EEEE 1011001 110 111111111 111110001,RETI3,"Return from INT3. (CALLD $1FF,$1F1 WC,WZ)",4,13...20,4,13...28,D,,,
163,alias,Branch S - Return,EEEE 1011001 110 111111111 111110011,RETI2,"Return from INT2. (CALLD $1FF,$1F3 WC,WZ)",4,13...20,4,13...28,D,,,
164,alias,Branch S - Return,EEEE 1011001 110 111111111 111110101,RETI1,"Return from INT1. (CALLD $1FF,$1F5 WC,WZ)",4,13...20,4,13...28,D,,,
165,alias,Branch S - Return,EEEE 1011001 110 111111111 111111111,RETI0,"Return from INT0. (CALLD $1FF,$1FF WC,WZ)",4,13...20,4,13...28,D,,,
166,.,Branch S - Call,EEEE 1011010 0LI DDDDDDDDD SSSSSSSSS,"CALLPA  {#}D,{#}S","Call to S** by pushing {C, Z, 10'b0, PC[19:0]} onto stack, copy D to PA.",4,13...20,4,13...28,PA,,Push,
167,.,Branch S - Call,EEEE 1011010 1LI DDDDDDDDD SSSSSSSSS,"CALLPB  {#}D,{#}S","Call to S** by pushing {C, Z, 10'b0, PC[19:0]} onto stack, copy D to PB.",4,13...20,4,13...28,PB,,Push,
168,.,Branch S - Mod & Test,EEEE 1011011 00I DDDDDDDDD SSSSSSSSS,"DJZ     D,{#}S",Decrement D and jump to S** if result is zero.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,D,,,
169,.,Branch S - Mod & Test,EEEE 1011011 01I DDDDDDDDD SSSSSSSSS,"DJNZ    D,{#}S",Decrement D and jump to S** if result is not zero.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,D,,,
170,.,Branch S - Mod & Test,EEEE 1011011 10I DDDDDDDDD SSSSSSSSS,"DJF     D,{#}S",Decrement D and jump to S** if result is $FFFF_FFFF.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,D,,,
171,.,Branch S - Mod & Test,EEEE 1011011 11I DDDDDDDDD SSSSSSSSS,"DJNF    D,{#}S",Decrement D and jump to S** if result is not $FFFF_FFFF.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,D,,,
172,.,Branch S - Mod & Test,EEEE 1011100 00I DDDDDDDDD SSSSSSSSS,"IJZ     D,{#}S",Increment D and jump to S** if result is zero.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,D,,,
173,.,Branch S - Mod & Test,EEEE 1011100 01I DDDDDDDDD SSSSSSSSS,"IJNZ    D,{#}S",Increment D and jump to S** if result is not zero.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,D,,,
174,.,Branch S - Test,EEEE 1011100 10I DDDDDDDDD SSSSSSSSS,"TJZ     D,{#}S",Test D and jump to S** if D is zero.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
175,.,Branch S - Test,EEEE 1011100 11I DDDDDDDDD SSSSSSSSS,"TJNZ    D,{#}S",Test D and jump to S** if D is not zero.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
176,.,Branch S - Test,EEEE 1011101 00I DDDDDDDDD SSSSSSSSS,"TJF     D,{#}S",Test D and jump to S** if D is full (D = $FFFF_FFFF).,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
177,.,Branch S - Test,EEEE 1011101 01I DDDDDDDDD SSSSSSSSS,"TJNF    D,{#}S",Test D and jump to S** if D is not full (D != $FFFF_FFFF).,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
178,.,Branch S - Test,EEEE 1011101 10I DDDDDDDDD SSSSSSSSS,"TJS     D,{#}S",Test D and jump to S** if D is signed (D[31] = 1).,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
179,.,Branch S - Test,EEEE 1011101 11I DDDDDDDDD SSSSSSSSS,"TJNS    D,{#}S",Test D and jump to S** if D is not signed (D[31] = 0).,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
180,.,Branch S - Test,EEEE 1011110 00I DDDDDDDDD SSSSSSSSS,"TJV     D,{#}S","Test D and jump to S** if D overflowed (D[31] != C, C = 'correct sign' from last addition/subtraction).",2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
181,.,Events - Branch,EEEE 1011110 01I 000000000 SSSSSSSSS,JINT    {#}S,Jump to S** if INT event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
182,.,Events - Branch,EEEE 1011110 01I 000000001 SSSSSSSSS,JCT1    {#}S,Jump to S** if CT1 event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
183,.,Events - Branch,EEEE 1011110 01I 000000010 SSSSSSSSS,JCT2    {#}S,Jump to S** if CT2 event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
184,.,Events - Branch,EEEE 1011110 01I 000000011 SSSSSSSSS,JCT3    {#}S,Jump to S** if CT3 event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
185,.,Events - Branch,EEEE 1011110 01I 000000100 SSSSSSSSS,JSE1    {#}S,Jump to S** if SE1 event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
186,.,Events - Branch,EEEE 1011110 01I 000000101 SSSSSSSSS,JSE2    {#}S,Jump to S** if SE2 event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
187,.,Events - Branch,EEEE 1011110 01I 000000110 SSSSSSSSS,JSE3    {#}S,Jump to S** if SE3 event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
188,.,Events - Branch,EEEE 1011110 01I 000000111 SSSSSSSSS,JSE4    {#}S,Jump to S** if SE4 event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
189,.,Events - Branch,EEEE 1011110 01I 000001000 SSSSSSSSS,JPAT    {#}S,Jump to S** if PAT event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
190,.,Events - Branch,EEEE 1011110 01I 000001001 SSSSSSSSS,JFBW    {#}S,Jump to S** if FBW event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
191,.,Events - Branch,EEEE 1011110 01I 000001010 SSSSSSSSS,JXMT    {#}S,Jump to S** if XMT event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
192,.,Events - Branch,EEEE 1011110 01I 000001011 SSSSSSSSS,JXFI    {#}S,Jump to S** if XFI event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
193,.,Events - Branch,EEEE 1011110 01I 000001100 SSSSSSSSS,JXRO    {#}S,Jump to S** if XRO event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
194,.,Events - Branch,EEEE 1011110 01I 000001101 SSSSSSSSS,JXRL    {#}S,Jump to S** if XRL event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
195,.,Events - Branch,EEEE 1011110 01I 000001110 SSSSSSSSS,JATN    {#}S,Jump to S** if ATN event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
196,.,Events - Branch,EEEE 1011110 01I 000001111 SSSSSSSSS,JQMT    {#}S,Jump to S** if QMT event flag is set.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
197,.,Events - Branch,EEEE 1011110 01I 000010000 SSSSSSSSS,JNINT   {#}S,Jump to S** if INT event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
198,.,Events - Branch,EEEE 1011110 01I 000010001 SSSSSSSSS,JNCT1   {#}S,Jump to S** if CT1 event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
199,.,Events - Branch,EEEE 1011110 01I 000010010 SSSSSSSSS,JNCT2   {#}S,Jump to S** if CT2 event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
200,.,Events - Branch,EEEE 1011110 01I 000010011 SSSSSSSSS,JNCT3   {#}S,Jump to S** if CT3 event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
201,.,Events - Branch,EEEE 1011110 01I 000010100 SSSSSSSSS,JNSE1   {#}S,Jump to S** if SE1 event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
202,.,Events - Branch,EEEE 1011110 01I 000010101 SSSSSSSSS,JNSE2   {#}S,Jump to S** if SE2 event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
203,.,Events - Branch,EEEE 1011110 01I 000010110 SSSSSSSSS,JNSE3   {#}S,Jump to S** if SE3 event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
204,.,Events - Branch,EEEE 1011110 01I 000010111 SSSSSSSSS,JNSE4   {#}S,Jump to S** if SE4 event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
205,.,Events - Branch,EEEE 1011110 01I 000011000 SSSSSSSSS,JNPAT   {#}S,Jump to S** if PAT event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
206,.,Events - Branch,EEEE 1011110 01I 000011001 SSSSSSSSS,JNFBW   {#}S,Jump to S** if FBW event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
207,.,Events - Branch,EEEE 1011110 01I 000011010 SSSSSSSSS,JNXMT   {#}S,Jump to S** if XMT event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
208,.,Events - Branch,EEEE 1011110 01I 000011011 SSSSSSSSS,JNXFI   {#}S,Jump to S** if XFI event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
209,.,Events - Branch,EEEE 1011110 01I 000011100 SSSSSSSSS,JNXRO   {#}S,Jump to S** if XRO event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
210,.,Events - Branch,EEEE 1011110 01I 000011101 SSSSSSSSS,JNXRL   {#}S,Jump to S** if XRL event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
211,.,Events - Branch,EEEE 1011110 01I 000011110 SSSSSSSSS,JNATN   {#}S,Jump to S** if ATN event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
212,.,Events - Branch,EEEE 1011110 01I 000011111 SSSSSSSSS,JNQMT   {#}S,Jump to S** if QMT event flag is clear.,2 or 4,2 or 13...20,2 or 4,2 or 13...28,,,,
213,,Miscellaneous,EEEE 1011110 1LI DDDDDDDDD SSSSSSSSS,"<empty> {#}D,{#}S",<empty>,,,,,,,,
214,.,Miscellaneous,EEEE 1011111 0LI DDDDDDDDD SSSSSSSSS,"<empty> {#}D,{#}S",<empty>,,,,,,,,
215,.,Events - Configuration,EEEE 1011111 1LI DDDDDDDDD SSSSSSSSS,"SETPAT  {#}D,{#}S","Set pin pattern for PAT event. C selects INA/INB, Z selects =/!=, D provides mask value, S provides match value.",2,same,2,same,,,,"SETPAT_(D,S)"
216,.,Smart Pins,EEEE 1100000 0LI DDDDDDDDD SSSSSSSSS,"WRPIN   {#}D,{#}S","Write D to mode register of smart pin S[5:0], acknowledge smart pin.",2,same,2,same,,,,"WRPIN_(D,S)"
217,alias,Smart Pins,EEEE 1100000 01I 000000001 SSSSSSSSS,AKPIN   {#}S,Acknowledge smart pin S[5:0].,2,same,2,same,,,,AKPIN_(S)
218,.,Smart Pins,EEEE 1100000 1LI DDDDDDDDD SSSSSSSSS,"WXPIN   {#}D,{#}S","Write D to parameter ""X"" of smart pin S[5:0], acknowledge smart pin.",2,same,2,same,,,,"WXPIN_(D,S)"
219,.,Smart Pins,EEEE 1100001 0LI DDDDDDDDD SSSSSSSSS,"WYPIN   {#}D,{#}S","Write D to parameter ""Y"" of smart pin S[5:0], acknowledge smart pin.",2,same,2,same,,,,"WYPIN_(D,S)"
