0,- Alias -,- Group -,- Encoding -,"#S = immediate (I=1). S = register.
220,.,Lookup Table,EEEE 1100001 1LI DDDDDDDDD SSSSSSSSS,"WRLUT   {#}D,{#}S",Write D to LUT address S[8:0].,2,same,2,same,,,,"WRLUT_(D,S)"
221,.,Hub RAM - Write,EEEE 1100010 0LI DDDDDDDDD SSSSSSSSS,"WRBYTE  {#}D,{#}S/P",Write byte in D[7:0] to hub address {#}S/PTRx.,3...10,3...20,3...18,3...38,,Write,,"WRBYTE_(D,S)"
222,.,Hub RAM - Write,EEEE 1100010 1LI DDDDDDDDD SSSSSSSSS,"WRWORD  {#}D,{#}S/P",Write word in D[15:0] to hub address {#}S/PTRx.,3...10*,3...20 *,3...18 *,3...38 *,,Write,,"WRWORD_(D,S)"
223,.,Hub RAM - Write,EEEE 1100011 0LI DDDDDDDDD SSSSSSSSS,"WRLONG  {#}D,{#}S/P",Write long in D[31:0] to hub address {#}S/PTRx.                   Prior SETQ/SETQ2 invokes cog/LUT block transfer.,3...10*,3...20 *,3...18 *,3...38 *,,Write,,"WRLONG_(D,S{,Q{,LUT}})"
224,alias,Hub RAM - Write,EEEE 1100011 0L1 DDDDDDDDD 101100001,PUSHA   {#}D,Write long in D[31:0] to hub address PTRA++.,3...10*,3...20 *,3...18 *,3...38 *,,Write,,PUSHA_(D)
225,alias,Hub RAM - Write,EEEE 1100011 0L1 DDDDDDDDD 111100001,PUSHB   {#}D,Write long in D[31:0] to hub address PTRB++.,3...10*,3...20 *,3...18 *,3...38 *,,Write,,PUSHB_(D)
226,.,Hub FIFO - New Read,EEEE 1100011 1LI DDDDDDDDD SSSSSSSSS,"RDFAST  {#}D,{#}S","Begin new fast hub read via FIFO.  D[31] = no wait, D[13:0] = block size in 64-byte units (0 = max), S[19:0] = block start address.",2 or WRFAST finish + 10...17,FIFO IN USE,2 or WRFAST finish + 10...25,FIFO IN USE,,,,
227,.,Hub FIFO - New Write,EEEE 1100100 0LI DDDDDDDDD SSSSSSSSS,"WRFAST  {#}D,{#}S","Begin new fast hub write via FIFO. D[31] = no wait, D[13:0] = block size in 64-byte units (0 = max), S[19:0] = block start address.",2 or WRFAST finish + 3,FIFO IN USE,2 or WRFAST finish + 3,FIFO IN USE,,,,
228,.,Hub FIFO - New Block,EEEE 1100100 1LI DDDDDDDDD SSSSSSSSS,"FBLOCK  {#}D,{#}S","Set next block for when block wraps. D[13:0] = block size in 64-byte units (0 = max), S[19:0] = block start address.",2,FIFO IN USE,2,FIFO IN USE,,,,
229,.,Streamer,EEEE 1100101 0LI DDDDDDDDD SSSSSSSSS,"XINIT   {#}D,{#}S","Issue streamer command immediately, zeroing phase.",2,same,2,same,,,,"XINIT_(D,S)"
230,alias,Streamer,EEEE 1100101 011 000000000 000000000,XSTOP,Stop streamer immediately.,2,same,2,same,,,,XSTOP_
231,.,Streamer,EEEE 1100101 1LI DDDDDDDDD SSSSSSSSS,"XZERO   {#}D,{#}S","Buffer new streamer command to be issued on final NCO rollover of current command, zeroing phase.",2+,same,2+,same,,,,"XZERO_(D,S)"
232,.,Streamer,EEEE 1100110 0LI DDDDDDDDD SSSSSSSSS,"XCONT   {#}D,{#}S","Buffer new streamer command to be issued on final NCO rollover of current command, continuing phase.",2+,same,2+,same,,,,"XCONT_(D,S)"
233,.,Branch Repeat,EEEE 1100110 1LI DDDDDDDDD SSSSSSSSS,"REP     {#}D,{#}S","Execute next D[8:0] instructions S times. If S = 0, repeat infinitely. If D[8:0] = 0, nothing repeats.",2,same,2,same,,,,
234,.,Hub Control - Cogs,EEEE 1100111 CLI DDDDDDDDD SSSSSSSSS,"COGINIT {#}D,{#}S       {WC}",Start cog selected by D. S[19:0] sets hub startup address and PTRB of cog. Prior SETQ sets PTRA of cog.,"2...9, +2 if result",same,"2...17, +2 if result",same,D if reg and WC,,,"COGINIT_(Dv,S{,Q})"
235,.,CORDIC Solver,EEEE 1101000 0LI DDDDDDDDD SSSSSSSSS,"QMUL    {#}D,{#}S",Begin CORDIC unsigned multiplication of D * S. GETQX/GETQY retrieves lower/upper product.,2...9,same,2...17,same,,,,"QMUL_(D,S)"
236,.,CORDIC Solver,EEEE 1101000 1LI DDDDDDDDD SSSSSSSSS,"QDIV    {#}D,{#}S","Begin CORDIC unsigned division of {SETQ value or 32'b0, D} / S. GETQX/GETQY retrieves quotient/remainder.",2...9,same,2...17,same,,,,"QDIV_(D,S{,Q})"
237,.,CORDIC Solver,EEEE 1101001 0LI DDDDDDDDD SSSSSSSSS,"QFRAC   {#}D,{#}S","Begin CORDIC unsigned division of {D, SETQ value or 32'b0} / S. GETQX/GETQY retrieves quotient/remainder.",2...9,same,2...17,same,,,,"QFRAC_(D,S{,Q})"
238,.,CORDIC Solver,EEEE 1101001 1LI DDDDDDDDD SSSSSSSSS,"QSQRT   {#}D,{#}S","Begin CORDIC square root of {S, D}. GETQX retrieves root.",2...9,same,2...17,same,,,,"QSQRT_(D,S)"
239,.,CORDIC Solver,EEEE 1101010 0LI DDDDDDDDD SSSSSSSSS,"QROTATE {#}D,{#}S","Begin CORDIC rotation of point (D, SETQ value or 32'b0) by angle S. GETQX/GETQY retrieves X/Y.",2...9,same,2...17,same,,,,"QROTATE_(D,S{,Q})"
240,.,CORDIC Solver,EEEE 1101010 1LI DDDDDDDDD SSSSSSSSS,"QVECTOR {#}D,{#}S","Begin CORDIC vectoring of point (D, S). GETQX/GETQY retrieves length/angle.",2...9,same,2...17,same,,,,"QVECTOR_(D,S)"
241,.,Hub Control - Multi,EEEE 1101011 00L DDDDDDDDD 000000000,HUBSET  {#}D,Set hub configuration to D.,2...9,same,2...17,same,,,,HUBSET_(D)
242,.,Hub Control - Cogs,EEEE 1101011 C0L DDDDDDDDD 000000001,COGID   {#}D            {WC},"If D is register and no WC, get cog ID (0 to 15) into D. If WC, check status of cog D[3:0], C = 1 if on.","2...9, +2 if result",same,"2...17, +2 if result",same,D if reg and !WC,,,COGID_(D/Dv)
243,.,Hub Control - Cogs,EEEE 1101011 00L DDDDDDDDD 000000011,COGSTOP {#}D,Stop cog D[3:0].,2...9,same,2...17,same,,,,COGSTOP_(D)
244,.,Hub Control - Locks,EEEE 1101011 C00 DDDDDDDDD 000000100,LOCKNEW D               {WC},Request a LOCK. D will be written with the LOCK number (0 to 15). C = 1 if no LOCK available.,4...11,same,4...19,same,D,,,LOCKNEW_(Dv)
245,.,Hub Control - Locks,EEEE 1101011 00L DDDDDDDDD 000000101,LOCKRET {#}D,Return LOCK D[3:0] for reallocation.,2...9,same,2...17,same,,,,LOCKRET_(D)
246,.,Hub Control - Locks,EEEE 1101011 C0L DDDDDDDDD 000000110,LOCKTRY {#}D            {WC},Try to get LOCK D[3:0]. C = 1 if got LOCK. LOCKREL releases LOCK. LOCK is also released if owner cog stops or restarts. ,"2...9, +2 if result",same,"2...17, +2 if result",same,,,,LOCKTRY_(D)
247,.,Hub Control - Locks,EEEE 1101011 C0L DDDDDDDDD 000000111,LOCKREL {#}D            {WC},"Release LOCK D[3:0]. If D is a register and WC, get current/last cog id of LOCK owner into D and LOCK status into C.","2...9, +2 if result",same,"2...17, +2 if result",same,,,,LOCKBYE_(D)
248,.,CORDIC Solver,EEEE 1101011 00L DDDDDDDDD 000001110,QLOG    {#}D,"Begin CORDIC number-to-logarithm conversion of D. GETQX retrieves log {5'whole_exponent, 27'fractional_exponent}.",2...9,same,2...17,same,,,,QLOG_(D)
249,.,CORDIC Solver,EEEE 1101011 00L DDDDDDDDD 000001111,QEXP    {#}D,Begin CORDIC logarithm-to-number conversion of D. GETQX retrieves number.,2...9,same,2...17,same,,,,QEXP_(D)
250,.,Hub FIFO - Read,EEEE 1101011 CZ0 DDDDDDDDD 000010000,RFBYTE  D        {WC/WZ/WCZ},Used after RDFAST. Read zero-extended byte from FIFO into D. C = MSB of byte. *,2,FIFO IN USE,2,FIFO IN USE,D,,,
251,.,Hub FIFO - Read,EEEE 1101011 CZ0 DDDDDDDDD 000010001,RFWORD  D        {WC/WZ/WCZ},Used after RDFAST. Read zero-extended word from FIFO into D. C = MSB of word. *,2,FIFO IN USE,2,FIFO IN USE,D,,,
252,.,Hub FIFO - Read,EEEE 1101011 CZ0 DDDDDDDDD 000010010,RFLONG  D        {WC/WZ/WCZ},Used after RDFAST. Read long from FIFO into D. C = MSB of long. *,2,FIFO IN USE,2,FIFO IN USE,D,,,
253,.,Hub FIFO - Read,EEEE 1101011 CZ0 DDDDDDDDD 000010011,RFVAR   D        {WC/WZ/WCZ},Used after RDFAST. Read zero-extended 1..4-byte value from FIFO into D. C = 0. *,2,FIFO IN USE,2,FIFO IN USE,D,,,
254,.,Hub FIFO - Read,EEEE 1101011 CZ0 DDDDDDDDD 000010100,RFVARS  D        {WC/WZ/WCZ},Used after RDFAST. Read sign-extended 1..4-byte value from FIFO into D. C = MSB of value. *,2,FIFO IN USE,2,FIFO IN USE,D,,,
255,.,Hub FIFO - Write,EEEE 1101011 00L DDDDDDDDD 000010101,WFBYTE  {#}D,Used after WRFAST. Write byte in D[7:0] into FIFO.,2,FIFO IN USE,2,FIFO IN USE,,,,
256,.,Hub FIFO - Write,EEEE 1101011 00L DDDDDDDDD 000010110,WFWORD  {#}D,Used after WRFAST. Write word in D[15:0] into FIFO.,2,FIFO IN USE,2,FIFO IN USE,,,,
257,.,Hub FIFO - Write,EEEE 1101011 00L DDDDDDDDD 000010111,WFLONG  {#}D,Used after WRFAST. Write long in D[31:0] into FIFO.,2,FIFO IN USE,2,FIFO IN USE,,,,
258,.,CORDIC Solver,EEEE 1101011 CZ0 DDDDDDDDD 000011000,GETQX   D        {WC/WZ/WCZ},"Retrieve CORDIC result X into D. Waits, in case result not ready. C = X[31]. *",2...58,same,2...58,same,D,,,GETQX_(Dv)
259,.,CORDIC Solver,EEEE 1101011 CZ0 DDDDDDDDD 000011001,GETQY   D        {WC/WZ/WCZ},"Retrieve CORDIC result Y into D. Waits, in case result not ready. C = Y[31]. *",2...58,same,2...58,same,D,,,GETQY_(Dv)
260,.,Miscellaneous,EEEE 1101011 000 DDDDDDDDD 000011010,GETCT   D,Get CT into D. CT is the free-running 32-bit system counter that increments on every clock.,2,same,2,same,D,,,GETCT_(Dv)
261,.,Miscellaneous,EEEE 1101011 CZ0 DDDDDDDDD 000011011,GETRND  D        {WC/WZ/WCZ},"Get RND into D/C/Z. RND is the PRNG that updates on every clock. D = RND[31:0], C = RND[31], Z = RND[30], unique per cog.",2,same,2,same,D,,,GETRND_(Dv)
262,alias,Miscellaneous,EEEE 1101011 CZ1 000000000 000011011,GETRND            WC/WZ/WCZ,"Get RND into C/Z. C = RND[31], Z = RND[30], unique per cog.",2,same,2,same,,,,
263,.,Smart Pins,EEEE 1101011 00L DDDDDDDDD 000011100,SETDACS {#}D,"DAC3 = D[31:24], DAC2 = D[23:16], DAC1 = D[15:8], DAC0 = D[7:0].",2,same,2,same,,,,SETDACS_(D)
264,.,Streamer,EEEE 1101011 00L DDDDDDDDD 000011101,SETXFRQ {#}D,Set streamer NCO frequency to D.,2,same,2,same,,,,SETXFRQ_(D)
265,.,Streamer,EEEE 1101011 000 DDDDDDDDD 000011110,GETXACC D,"Get the streamer's Goertzel X accumulator into D and the Y accumulator into the next instruction's S, clear accumulators.",2,same,2,same,D,,,"GETXACC_(Dv,Sv)"
266,.,Miscellaneous,EEEE 1101011 00L DDDDDDDDD 000011111,WAITX   {#}D     {WC/WZ/WCZ},"Wait 2 + D clocks if no WC/WZ/WCZ. If WC/WZ/WCZ, wait 2 + (D & RND) clocks. C/Z = 0.",2 + D,same,2 + D,same,,,,WAITX_(D)
267,.,Events - Configuration,EEEE 1101011 00L DDDDDDDDD 000100000,SETSE1  {#}D,Set SE1 event configuration to D[8:0].,2,same,2,same,,,,SETSE1_(D)
268,.,Events - Configuration,EEEE 1101011 00L DDDDDDDDD 000100001,SETSE2  {#}D,Set SE2 event configuration to D[8:0].,2,same,2,same,,,,SETSE2_(D)
269,.,Events - Configuration,EEEE 1101011 00L DDDDDDDDD 000100010,SETSE3  {#}D,Set SE3 event configuration to D[8:0].,2,same,2,same,,,,SETSE3_(D)
270,.,Events - Configuration,EEEE 1101011 00L DDDDDDDDD 000100011,SETSE4  {#}D,Set SE4 event configuration to D[8:0].,2,same,2,same,,,,SETSE4_(D)
271,.,Events - Poll,EEEE 1101011 CZ0 000000000 000100100,POLLINT          {WC/WZ/WCZ},"Get INT event flag into C/Z, then clear it.",2,same,2,same,,,,POLLINT_
272,.,Events - Poll,EEEE 1101011 CZ0 000000001 000100100,POLLCT1          {WC/WZ/WCZ},"Get CT1 event flag into C/Z, then clear it.",2,same,2,same,,,,POLLCT1_
273,.,Events - Poll,EEEE 1101011 CZ0 000000010 000100100,POLLCT2          {WC/WZ/WCZ},"Get CT2 event flag into C/Z, then clear it.",2,same,2,same,,,,POLLCT2_
274,.,Events - Poll,EEEE 1101011 CZ0 000000011 000100100,POLLCT3          {WC/WZ/WCZ},"Get CT3 event flag into C/Z, then clear it.",2,same,2,same,,,,POLLCT3_
275,.,Events - Poll,EEEE 1101011 CZ0 000000100 000100100,POLLSE1          {WC/WZ/WCZ},"Get SE1 event flag into C/Z, then clear it.",2,same,2,same,,,,POLLSE1_
276,.,Events - Poll,EEEE 1101011 CZ0 000000101 000100100,POLLSE2          {WC/WZ/WCZ},"Get SE2 event flag into C/Z, then clear it.",2,same,2,same,,,,POLLSE2_
277,.,Events - Poll,EEEE 1101011 CZ0 000000110 000100100,POLLSE3          {WC/WZ/WCZ},"Get SE3 event flag into C/Z, then clear it.",2,same,2,same,,,,POLLSE3_
278,.,Events - Poll,EEEE 1101011 CZ0 000000111 000100100,POLLSE4          {WC/WZ/WCZ},"Get SE4 event flag into C/Z, then clear it.",2,same,2,same,,,,POLLSE4_
279,.,Events - Poll,EEEE 1101011 CZ0 000001000 000100100,POLLPAT          {WC/WZ/WCZ},"Get PAT event flag into C/Z, then clear it.",2,same,2,same,,,,POLLPAT_
280,.,Events - Poll,EEEE 1101011 CZ0 000001001 000100100,POLLFBW          {WC/WZ/WCZ},"Get FBW event flag into C/Z, then clear it.",2,same,2,same,,,,POLLFBW_
281,.,Events - Poll,EEEE 1101011 CZ0 000001010 000100100,POLLXMT          {WC/WZ/WCZ},"Get XMT event flag into C/Z, then clear it.",2,same,2,same,,,,POLLXMT_
282,.,Events - Poll,EEEE 1101011 CZ0 000001011 000100100,POLLXFI          {WC/WZ/WCZ},"Get XFI event flag into C/Z, then clear it.",2,same,2,same,,,,POLLXFI_
283,.,Events - Poll,EEEE 1101011 CZ0 000001100 000100100,POLLXRO          {WC/WZ/WCZ},"Get XRO event flag into C/Z, then clear it.",2,same,2,same,,,,POLLXRO_
284,.,Events - Poll,EEEE 1101011 CZ0 000001101 000100100,POLLXRL          {WC/WZ/WCZ},"Get XRL event flag into C/Z, then clear it.",2,same,2,same,,,,POLLXRL_
285,.,Events - Poll,EEEE 1101011 CZ0 000001110 000100100,POLLATN          {WC/WZ/WCZ},"Get ATN event flag into C/Z, then clear it.",2,same,2,same,,,,POLLATN_
286,.,Events - Poll,EEEE 1101011 CZ0 000001111 000100100,POLLQMT          {WC/WZ/WCZ},"Get QMT event flag into C/Z, then clear it.",2,same,2,same,,,,POLLQMT_
287,.,Events - Wait,EEEE 1101011 CZ0 000010000 000100100,WAITINT          {WC/WZ/WCZ},"Wait for INT event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITINT_{(Q)}
288,.,Events - Wait,EEEE 1101011 CZ0 000010001 000100100,WAITCT1          {WC/WZ/WCZ},"Wait for CT1 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITCT1_{(Q)}
289,.,Events - Wait,EEEE 1101011 CZ0 000010010 000100100,WAITCT2          {WC/WZ/WCZ},"Wait for CT2 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITCT2_{(Q)}
290,.,Events - Wait,EEEE 1101011 CZ0 000010011 000100100,WAITCT3          {WC/WZ/WCZ},"Wait for CT3 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITCT3_{(Q)}
291,.,Events - Wait,EEEE 1101011 CZ0 000010100 000100100,WAITSE1          {WC/WZ/WCZ},"Wait for SE1 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITSE1_{(Q)}
292,.,Events - Wait,EEEE 1101011 CZ0 000010101 000100100,WAITSE2          {WC/WZ/WCZ},"Wait for SE2 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITSE2_{(Q)}
293,.,Events - Wait,EEEE 1101011 CZ0 000010110 000100100,WAITSE3          {WC/WZ/WCZ},"Wait for SE3 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITSE3_{(Q)}
294,.,Events - Wait,EEEE 1101011 CZ0 000010111 000100100,WAITSE4          {WC/WZ/WCZ},"Wait for SE4 event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITSE4_{(Q)}
295,.,Events - Wait,EEEE 1101011 CZ0 000011000 000100100,WAITPAT          {WC/WZ/WCZ},"Wait for PAT event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITPAT_{(Q)}
296,.,Events - Wait,EEEE 1101011 CZ0 000011001 000100100,WAITFBW          {WC/WZ/WCZ},"Wait for FBW event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITFBW_{(Q)}
297,.,Events - Wait,EEEE 1101011 CZ0 000011010 000100100,WAITXMT          {WC/WZ/WCZ},"Wait for XMT event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITXMT_{(Q)}
298,.,Events - Wait,EEEE 1101011 CZ0 000011011 000100100,WAITXFI          {WC/WZ/WCZ},"Wait for XFI event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITXFI_{(Q)}
299,.,Events - Wait,EEEE 1101011 CZ0 000011100 000100100,WAITXRO          {WC/WZ/WCZ},"Wait for XRO event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITXRO_{(Q)}
300,.,Events - Wait,EEEE 1101011 CZ0 000011101 000100100,WAITXRL          {WC/WZ/WCZ},"Wait for XRL event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITXRL_{(Q)}
301,.,Events - Wait,EEEE 1101011 CZ0 000011110 000100100,WAITATN          {WC/WZ/WCZ},"Wait for ATN event flag, then clear it. Prior SETQ sets optional CT timeout value. C/Z = timeout.",2+,same,2+,same,,,,WAITATN_{(Q)}
302,.,Interrupts,EEEE 1101011 000 000100000 000100100,ALLOWI,Allow interrupts (default).,2,same,2,same,,,,ALLOWI_
303,.,Interrupts,EEEE 1101011 000 000100001 000100100,STALLI,Stall Interrupts.,2,same,2,same,,,,STALLI_
304,.,Interrupts,EEEE 1101011 000 000100010 000100100,TRGINT1,"Trigger INT1, regardless of STALLI mode.",2,same,2,same,,,,TRGINT1_
305,.,Interrupts,EEEE 1101011 000 000100011 000100100,TRGINT2,"Trigger INT2, regardless of STALLI mode.",2,same,2,same,,,,TRGINT2_
306,.,Interrupts,EEEE 1101011 000 000100100 000100100,TRGINT3,"Trigger INT3, regardless of STALLI mode.",2,same,2,same,,,,TRGINT3_
307,.,Interrupts,EEEE 1101011 000 000100101 000100100,NIXINT1,Cancel INT1.,2,same,2,same,,,,NIXINT1_
308,.,Interrupts,EEEE 1101011 000 000100110 000100100,NIXINT2,Cancel INT2.,2,same,2,same,,,,NIXINT2_
309,.,Interrupts,EEEE 1101011 000 000100111 000100100,NIXINT3,Cancel INT3.,2,same,2,same,,,,NIXINT3_
310,.,Interrupts,EEEE 1101011 00L DDDDDDDDD 000100101,SETINT1 {#}D,Set INT1 source to D[3:0].,2,same,2,same,,,,SETINT1_(D)
311,.,Interrupts,EEEE 1101011 00L DDDDDDDDD 000100110,SETINT2 {#}D,Set INT2 source to D[3:0].,2,same,2,same,,,,SETINT2_(D)
312,.,Interrupts,EEEE 1101011 00L DDDDDDDDD 000100111,SETINT3 {#}D,Set INT3 source to D[3:0].,2,same,2,same,,,,SETINT3_(D)
313,.,Miscellaneous,EEEE 1101011 00L DDDDDDDDD 000101000,SETQ    {#}D,Set Q to D. Use before RDLONG/WRLONG/WMLONG to set block transfer. Also used before MUXQ/COGINIT/QDIV/QFRAC/QROTATE/WAITxxx.,2,same,2,same,,,,
314,.,Miscellaneous,EEEE 1101011 00L DDDDDDDDD 000101001,SETQ2   {#}D,Set Q to D. Use before RDLONG/WRLONG/WMLONG to set LUT block transfer.,2,same,2,same,,,,
315,.,Miscellaneous,EEEE 1101011 00L DDDDDDDDD 000101010,PUSH    {#}D,Push D onto stack.,2,same,2,same,,,Push,
316,.,Miscellaneous,EEEE 1101011 CZ0 DDDDDDDDD 000101011,POP     D        {WC/WZ/WCZ},"Pop stack (K). C = K[31], Z = K[30], D = K.",2,same,2,same,D,,Pop,
317,.,Branch D - Jump,EEEE 1101011 CZ0 DDDDDDDDD 000101100,JMP     D        {WC/WZ/WCZ},"Jump to D.                                                              C = D[31], Z = D[30], PC = D[19:0].",4,13...20,4,13...28,,,,
318,.,Branch D - Call,EEEE 1101011 CZ0 DDDDDDDDD 000101101,CALL    D        {WC/WZ/WCZ},"Call to D by pushing {C, Z, 10'b0, PC[19:0]} onto stack.                C = D[31], Z = D[30], PC = D[19:0].",4,13...20,4,13...28,,,Push,
319,.,Branch Return,EEEE 1101011 CZ1 000000000 000101101,RET              {WC/WZ/WCZ},"Return by popping stack (K).                                            C = K[31], Z = K[30], PC = K[19:0].",4,13...20,4,13...28,,,Pop,
320,.,Branch D - Call,EEEE 1101011 CZ0 DDDDDDDDD 000101110,CALLA   D        {WC/WZ/WCZ},"Call to D by writing {C, Z, 10'b0, PC[19:0]} to hub long at PTRA++.     C = D[31], Z = D[30], PC = D[19:0].",5...12 *,14...32 *,5...20 *,14...64 *,,Write,,
321,.,Branch Return,EEEE 1101011 CZ1 000000000 000101110,RETA             {WC/WZ/WCZ},"Return by reading hub long (L) at --PTRA.                               C = L[31], Z = L[30], PC = L[19:0].",11...18 *,20...40 *,11...26 *,20...70 *,,Read,,
322,.,Branch D - Call,EEEE 1101011 CZ0 DDDDDDDDD 000101111,CALLB   D        {WC/WZ/WCZ},"Call to D by writing {C, Z, 10'b0, PC[19:0]} to hub long at PTRB++.     C = D[31], Z = D[30], PC = D[19:0].",5...12 *,14...32 *,5...20 *,14...64 *,,Write,,
323,.,Branch Return,EEEE 1101011 CZ1 000000000 000101111,RETB             {WC/WZ/WCZ},"Return by reading hub long (L) at --PTRB.                               C = L[31], Z = L[30], PC = L[19:0].",11...18 *,20...40 *,11...26 *,20...70 *,,Read,,
324,.,Branch D - Jump,EEEE 1101011 00L DDDDDDDDD 000110000,JMPREL  {#}D,"Jump ahead/back by D instructions. For cogex, PC += D[19:0]. For hubex, PC += D[17:0] << 2.",4,13...20,4,13...28,,,,
325,.,Branch D - Skip,EEEE 1101011 00L DDDDDDDDD 000110001,SKIP    {#}D,Skip instructions per D. Subsequent instructions 0..31 get cancelled for each '1' bit in D[0]..D[31].,2,same,2,same,,,,
326,.,Branch D - Jump+Skip,EEEE 1101011 00L DDDDDDDDD 000110010,SKIPF   {#}D,"Skip cog/LUT instructions fast per D. Like SKIP, but instead of cancelling instructions, the PC leaps over them.",2,ILLEGAL,2,ILLEGAL,,,,
327,.,Branch D - Call+Skip,EEEE 1101011 00L DDDDDDDDD 000110011,EXECF   {#}D,"Jump to D[9:0] in cog/LUT and set SKIPF pattern to D[31:10]. PC = {10'b0, D[9:0]}.",4,same,4,same,,,,
328,.,Hub FIFO,EEEE 1101011 000 DDDDDDDDD 000110100,GETPTR  D,Get current FIFO hub pointer into D.,2,FIFO IN USE,2,FIFO IN USE,D,,,
329,.,Interrupts,EEEE 1101011 CZ0 DDDDDDDDD 000110101,GETBRK  D          WC/WZ/WCZ,Get breakpoint status into D according to WC/WZ/WCZ. C = 0. Z = 0.,2,same,2,same,D,,,
