0,- Alias -,- Group -,- Encoding -,"#S = immediate (I=1). S = register.
330,.,Interrupts,EEEE 1101011 00L DDDDDDDDD 000110101,COGBRK  {#}D,"If in debug ISR, trigger asynchronous breakpoint in cog D[3:0]. Cog D[3:0] must have asynchronous breakpoint enabled.",2,same,2,same,,,,COGBRK_(D)
331,.,Interrupts,EEEE 1101011 00L DDDDDDDDD 000110110,BRK     {#}D,"If in debug ISR, set next break condition to D. Else, trigger break if enabled, conditionally write break code to D[7:0].",2,same,2,same,,,,BRK_(D)
332,.,Lookup Table,EEEE 1101011 00L DDDDDDDDD 000110111,SETLUTS {#}D,"If D[0] = 1 then enable LUT sharing, where LUT writes within the adjacent odd/even companion cog are copied to this LUT.",2,same,2,same,,,,SETLUTS_(D)
333,alias,Lookup Table,EEEE 1101011 001 000000000 000110111,LUTSOFF,Disable LUT sharing.,2,same,2,same,,,,LUTSOFF_
334,alias,Lookup Table,EEEE 1101011 001 000000001 000110111,LUTSON,Enable LUT sharing.,2,same,2,same,,,,LUTSON_
335,.,Color Space Converter,EEEE 1101011 00L DDDDDDDDD 000111000,SETCY   {#}D,"Set the colorspace converter ""CY"" parameter to D[31:0].",2,same,2,same,,,,SETCY_(D)
336,.,Color Space Converter,EEEE 1101011 00L DDDDDDDDD 000111001,SETCI   {#}D,"Set the colorspace converter ""CI"" parameter to D[31:0].",2,same,2,same,,,,SETCI_(D)
337,.,Color Space Converter,EEEE 1101011 00L DDDDDDDDD 000111010,SETCQ   {#}D,"Set the colorspace converter ""CQ"" parameter to D[31:0].",2,same,2,same,,,,SETCQ_(D)
338,.,Color Space Converter,EEEE 1101011 00L DDDDDDDDD 000111011,SETCFRQ {#}D,"Set the colorspace converter ""CFRQ"" parameter to D[31:0].",2,same,2,same,,,,SETCFRQ_(D)
339,.,Color Space Converter,EEEE 1101011 00L DDDDDDDDD 000111100,SETCMOD {#}D,"Set the colorspace converter ""CMOD"" parameter to D[6:0].",2,same,2,same,,,,SETCMOD_(D)
340,.,Pixel Mixer,EEEE 1101011 00L DDDDDDDDD 000111101,SETPIV  {#}D,Set BLNPIX/MIXPIX blend factor to D[7:0].,2,same,2,same,,,,SETPIV_(D)
341,.,Pixel Mixer,EEEE 1101011 00L DDDDDDDDD 000111110,SETPIX  {#}D,Set MIXPIX mode to D[5:0].,2,same,2,same,,,,SETPIX_(D)
342,.,Events - Attention,EEEE 1101011 00L DDDDDDDDD 000111111,COGATN  {#}D,"Strobe ""attention"" of all cogs whose corresponging bits are high in D[15:0].",2,same,2,same,,,,COGATN_(D)
343,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000000,TESTP   {#}D           WC/WZ,"Test  IN bit of pin D[5:0], write to C/Z. C/Z =          IN[D[5:0]].",2,same,2,same,,,,"TESTP_(D,S,WC/WZ)"
344,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000001,TESTPN  {#}D           WC/WZ,"Test !IN bit of pin D[5:0], write to C/Z. C/Z =         !IN[D[5:0]].",2,same,2,same,,,,"TESTPN_(D,S,WC/WZ)"
345,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000010,TESTP   {#}D       ANDC/ANDZ,"Test  IN bit of pin D[5:0], AND into C/Z. C/Z = C/Z AND  IN[D[5:0]].",2,same,2,same,,,,"TESTP_(D,S,ANDC/ANDZ)"
346,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000011,TESTPN  {#}D       ANDC/ANDZ,"Test !IN bit of pin D[5:0], AND into C/Z. C/Z = C/Z AND !IN[D[5:0]].",2,same,2,same,,,,"TESTPN_(D,S,ANDC/ANDZ)"
347,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000100,TESTP   {#}D         ORC/ORZ,"Test  IN bit of pin D[5:0], OR  into C/Z. C/Z = C/Z OR   IN[D[5:0]].",2,same,2,same,,,,"TESTP_(D,S,ORC/ORZ)"
348,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000101,TESTPN  {#}D         ORC/ORZ,"Test !IN bit of pin D[5:0], OR  into C/Z. C/Z = C/Z OR  !IN[D[5:0]].",2,same,2,same,,,,"TESTPN_(D,S,ORC/ORZ)"
349,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000110,TESTP   {#}D       XORC/XORZ,"Test  IN bit of pin D[5:0], XOR into C/Z. C/Z = C/Z XOR  IN[D[5:0]].",2,same,2,same,,,,"TESTP_(D,S,XORC/XORZ)"
350,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000111,TESTPN  {#}D       XORC/XORZ,"Test !IN bit of pin D[5:0], XOR into C/Z. C/Z = C/Z XOR !IN[D[5:0]].",2,same,2,same,,,,"TESTPN_(D,S,XORC/XORZ)"
351,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000000,DIRL    {#}D           {WCZ},"DIR bit of pin D[5:0] = 0.                 C,Z = DIR bit.",2,same,2,same,DIRx,,,DIRL_(D)
352,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000001,DIRH    {#}D           {WCZ},"DIR bit of pin D[5:0] = 1.                 C,Z = DIR bit.",2,same,2,same,DIRx,,,DIRH_(D)
353,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000010,DIRC    {#}D           {WCZ},"DIR bit of pin D[5:0] = C.                 C,Z = DIR bit.",2,same,2,same,DIRx,,,DIRC_(D)
354,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000011,DIRNC   {#}D           {WCZ},"DIR bit of pin D[5:0] = !C.                C,Z = DIR bit.",2,same,2,same,DIRx,,,DIRNC_(D)
355,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000100,DIRZ    {#}D           {WCZ},"DIR bit of pin D[5:0] = Z.                 C,Z = DIR bit.",2,same,2,same,DIRx,,,DIRZ_(D)
356,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000101,DIRNZ   {#}D           {WCZ},"DIR bit of pin D[5:0] = !Z.                C,Z = DIR bit.",2,same,2,same,DIRx,,,DIRNZ_(D)
357,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000110,DIRRND  {#}D           {WCZ},"DIR bit of pin D[5:0] = RND.               C,Z = DIR bit.",2,same,2,same,DIRx,,,DIRRND_(D)
358,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001000111,DIRNOT  {#}D           {WCZ},"DIR bit of pin D[5:0] = !bit.              C,Z = DIR bit.",2,same,2,same,DIRx,,,DIRNOT_(D)
359,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001001000,OUTL    {#}D           {WCZ},"OUT bit of pin D[5:0] = 0.                 C,Z = OUT bit.",2,same,2,same,OUTx,,,OUTL_(D)
360,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001001001,OUTH    {#}D           {WCZ},"OUT bit of pin D[5:0] = 1.                 C,Z = OUT bit.",2,same,2,same,OUTx,,,OUTH_(D)
361,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001001010,OUTC    {#}D           {WCZ},"OUT bit of pin D[5:0] = C.                 C,Z = OUT bit.",2,same,2,same,OUTx,,,OUTC_(D)
362,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001001011,OUTNC   {#}D           {WCZ},"OUT bit of pin D[5:0] = !C.                C,Z = OUT bit.",2,same,2,same,OUTx,,,OUTNC_(D)
363,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001001100,OUTZ    {#}D           {WCZ},"OUT bit of pin D[5:0] = Z.                 C,Z = OUT bit.",2,same,2,same,OUTx,,,OUTZ_(D)
364,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001001101,OUTNZ   {#}D           {WCZ},"OUT bit of pin D[5:0] = !Z.                C,Z = OUT bit.",2,same,2,same,OUTx,,,OUTNZ_(D)
365,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001001110,OUTRND  {#}D           {WCZ},"OUT bit of pin D[5:0] = RND.               C,Z = OUT bit.",2,same,2,same,OUTx,,,OUTRND_(D)
366,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001001111,OUTNOT  {#}D           {WCZ},"OUT bit of pin D[5:0] = !bit.              C,Z = OUT bit.",2,same,2,same,OUTx,,,OUTNOT_(D)
367,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001010000,FLTL    {#}D           {WCZ},"OUT bit of pin D[5:0] = 0.    DIR bit = 0. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,FLTL_(D)
368,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001010001,FLTH    {#}D           {WCZ},"OUT bit of pin D[5:0] = 1.    DIR bit = 0. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,FLTH_(D)
369,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001010010,FLTC    {#}D           {WCZ},"OUT bit of pin D[5:0] = C.    DIR bit = 0. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,FLTC_(D)
370,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001010011,FLTNC   {#}D           {WCZ},"OUT bit of pin D[5:0] = !C.   DIR bit = 0. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,FLTNC_(D)
371,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001010100,FLTZ    {#}D           {WCZ},"OUT bit of pin D[5:0] = Z.    DIR bit = 0. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,FLTZ_(D)
372,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001010101,FLTNZ   {#}D           {WCZ},"OUT bit of pin D[5:0] = !Z.   DIR bit = 0. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,FLTNZ_(D)
373,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001010110,FLTRND  {#}D           {WCZ},"OUT bit of pin D[5:0] = RND.  DIR bit = 0. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,FLTRND_(D)
374,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001010111,FLTNOT  {#}D           {WCZ},"OUT bit of pin D[5:0] = !bit. DIR bit = 0. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,FLTNOT_(D)
375,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001011000,DRVL    {#}D           {WCZ},"OUT bit of pin D[5:0] = 0.    DIR bit = 1. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,DRVL_(D)
376,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001011001,DRVH    {#}D           {WCZ},"OUT bit of pin D[5:0] = 1.    DIR bit = 1. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,DRVH_(D)
377,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001011010,DRVC    {#}D           {WCZ},"OUT bit of pin D[5:0] = C.    DIR bit = 1. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,DRVC_(D)
378,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001011011,DRVNC   {#}D           {WCZ},"OUT bit of pin D[5:0] = !C.   DIR bit = 1. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,DRVNC_(D)
379,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001011100,DRVZ    {#}D           {WCZ},"OUT bit of pin D[5:0] = Z.    DIR bit = 1. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,DRVZ_(D)
380,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001011101,DRVNZ   {#}D           {WCZ},"OUT bit of pin D[5:0] = !Z.   DIR bit = 1. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,DRVNZ_(D)
381,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001011110,DRVRND  {#}D           {WCZ},"OUT bit of pin D[5:0] = RND.  DIR bit = 1. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,DRVRND_(D)
382,.,Pins,EEEE 1101011 CZL DDDDDDDDD 001011111,DRVNOT  {#}D           {WCZ},"OUT bit of pin D[5:0] = !bit. DIR bit = 1. C,Z = OUT bit.",2,same,2,same,DIRx* + OUTx,,,DRVNOT_(D)
383,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001100000,SPLITB  D,"Split every 4th bit of S into bytes of D. D = {S[31], S[27], S[23], S[19], ...S[12], S[8], S[4], S[0]}.",2,same,2,same,D,,,SPLITB_(Dv)
384,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001100001,MERGEB  D,"Merge bits of bytes in S into D. D = {S[31], S[23], S[15], S[7], ...S[24], S[16], S[8], S[0]}.",2,same,2,same,D,,,MERGEB_(Dv)
385,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001100010,SPLITW  D,"Split bits of S into words of D. D = {S[31], S[29], S[27], S[25], ...S[6], S[4], S[2], S[0]}.",2,same,2,same,D,,,SPLITW_(Dv)
386,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001100011,MERGEW  D,"Merge bits of words in S into D. D = {S[31], S[15], S[30], S[14], ...S[17], S[1], S[16], S[0]}.",2,same,2,same,D,,,MERGEW_(Dv)
387,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001100100,SEUSSF  D,Relocate and periodically invert bits from S into D. Returns to original value on 32nd iteration. Forward pattern.,2,same,2,same,D,,,SEUSSF_(Dv)
388,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001100101,SEUSSR  D,Relocate and periodically invert bits from S into D. Returns to original value on 32nd iteration. Reverse pattern.,2,same,2,same,D,,,SEUSSR_(Dv)
389,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001100110,RGBSQZ  D,"Squeeze 8:8:8 RGB value in S[31:8] into 5:6:5 value in D[15:0]. D = {15'b0, S[31:27], S[23:18], S[15:11]}.",2,same,2,same,D,,,RGBSQZ_(Dv)
390,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001100111,RGBEXP  D,"Expand 5:6:5 RGB value in S[15:0] into 8:8:8 value in D[31:8]. D = {S[15:11,15:13], S[10:5,10:9], S[4:0,4:2], 8'b0}.",2,same,2,same,D,,,RGBEXP_(Dv)
391,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001101000,XORO32  D,Iterate D with xoroshiro32+ PRNG algorithm and put PRNG result into next instruction's S.,2,same,2,same,D,,,XORO32_(Dv)
392,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001101001,REV     D,Reverse D bits. D = D[0:31].,2,same,2,same,D,,,REV_(Dv)
393,.,Math and Logic,EEEE 1101011 CZ0 DDDDDDDDD 001101010,RCZR    D        {WC/WZ/WCZ},"Rotate C,Z right through D. D = {C, Z, D[31:2]}. C = D[1],  Z = D[0].",2,same,2,same,D,,,RCZR_(Dv)
394,.,Math and Logic,EEEE 1101011 CZ0 DDDDDDDDD 001101011,RCZL    D        {WC/WZ/WCZ},"Rotate C,Z left through D.  D = {D[29:0], C, Z}. C = D[31], Z = D[30].",2,same,2,same,D,,,RCZL_(Dv)
395,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001101100,WRC     D,"Write 0 or 1 to D, according to  C. D = {31'b0,  C).",2,same,2,same,D,,,WRC_(Dv)
396,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001101101,WRNC    D,"Write 0 or 1 to D, according to !C. D = {31'b0, !C).",2,same,2,same,D,,,WRNC_(Dv)
397,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001101110,WRZ     D,"Write 0 or 1 to D, according to  Z. D = {31'b0,  Z).",2,same,2,same,D,,,WRZ_(Dv)
398,.,Math and Logic,EEEE 1101011 000 DDDDDDDDD 001101111,WRNZ    D,"Write 0 or 1 to D, according to !Z. D = {31'b0, !Z).",2,same,2,same,D,,,WRNZ_(Dv)
399,.,Math and Logic,EEEE 1101011 CZ1 0cccczzzz 001101111,"MODCZ   c,z      {WC/WZ/WCZ}","Modify C and Z according to cccc and zzzz. C = cccc[{C,Z}], Z = zzzz[{C,Z}].",2,same,2,same,,,,MODCZ_(D)
400,alias,Math and Logic,EEEE 1101011 C01 0cccc0000 001101111,MODC    c               {WC},"Modify C according to cccc. C = cccc[{C,Z}].",2,same,2,same,,,,MODC_(D)
401,alias,Math and Logic,EEEE 1101011 0Z1 00000zzzz 001101111,MODZ    z               {WZ},"Modify Z according to zzzz. Z = zzzz[{C,Z}].",2,same,2,same,,,,MODZ_(D)
402,.,Branch A - Jump,EEEE 1101100 RAA AAAAAAAAA AAAAAAAAA,JMP     #A,"Jump to A.                                                                  If R = 1, PC += A, else PC = A.",4,13...20,4,13...28,,,,
403,.,Branch A - Call,EEEE 1101101 RAA AAAAAAAAA AAAAAAAAA,CALL    #A,"Call to A by pushing {C, Z, 10'b0, PC[19:0]} onto stack.                    If R = 1, PC += A, else PC = A.",4,13...20,4,13...28,,,Push,
404,.,Branch A - Call,EEEE 1101110 RAA AAAAAAAAA AAAAAAAAA,CALLA   #A,"Call to A by writing {C, Z, 10'b0, PC[19:0]} to hub long at PTRA++.         If R = 1, PC += A, else PC = A.",5...12 *,14...32 *,5...20 *,14...64 *,,Write,,
405,.,Branch A - Call,EEEE 1101111 RAA AAAAAAAAA AAAAAAAAA,CALLB   #A,"Call to A by writing {C, Z, 10'b0, PC[19:0]} to hub long at PTRB++.         If R = 1, PC += A, else PC = A.",5...12 *,14...32 *,5...20 *,14...64 *,,Write,,
406,.,Branch A - Call,EEEE 11100WW RAA AAAAAAAAA AAAAAAAAA,"CALLD   PA/PB/PTRA/PTRB,#A","Call to A by writing {C, Z, 10'b0, PC[19:0]} to PA/PB/PTRA/PTRB (per W).    If R = 1, PC += A, else PC = A.",4,13...20,4,13...28,Per W,,,
407,.,Math and Logic,EEEE 11101WW RAA AAAAAAAAA AAAAAAAAA,"LOC     PA/PB/PTRA/PTRB,#A","Get {12'b0, address[19:0]} into PA/PB/PTRA/PTRB (per W). If R = 1, address = PC + A, else address = A.",2,same,2,same,Per W,,,
408,.,Miscellaneous,EEEE 11110NN NNN NNNNNNNNN NNNNNNNNN,AUGS    #N,"Queue #N[31:9] to be used as upper 23 bits for next #S occurrence, so that the next 9-bit #S will be augmented to 32 bits.",2,same,2,same,,,,
409,.,Miscellaneous,EEEE 11111NN NNN NNNNNNNNN NNNNNNNNN,AUGD    #N,"Queue #N[31:9] to be used as upper 23 bits for next #D occurrence, so that the next 9-bit #D will be augmented to 32 bits.",2,same,2,same,,,,
410,,,,,,,,,,,,,
411,.,Instruction Prefix,0000 ------- --- --------- ---------,_RET_         <inst>  <ops>,Execute <inst> always and return if no branch. If <inst> is not branching then return by popping stack[19:0] into PC.,+2,+11...18,+2,+11...26,,,Pop,
412,.,Instruction Prefix,0001 ------- --- --------- ---------,IF_NC_AND_NZ  <inst>  <ops>,Execute <inst> if C = 0 and Z = 0.,,,,,,,,
413,alias,Instruction Prefix,0001 ------- --- --------- ---------,IF_NZ_AND_NC  <inst>  <ops>,Execute <inst> if C = 0 and Z = 0.,,,,,,,,
414,alias,Instruction Prefix,0001 ------- --- --------- ---------,IF_A          <inst>  <ops>,"Execute <inst> if C = 0 and Z = 0, or if 'above' after a comparison/subtraction.",,,,,,,,
415,alias,Instruction Prefix,0001 ------- --- --------- ---------,IF_00         <inst>  <ops>,Execute <inst> if C = 0 and Z = 0.,,,,,,,,
416,.,Instruction Prefix,0010 ------- --- --------- ---------,IF_NC_AND_Z   <inst>  <ops>,Execute <inst> if C = 0 and Z = 1.,,,,,,,,
417,alias,Instruction Prefix,0010 ------- --- --------- ---------,IF_Z_AND_NC   <inst>  <ops>,Execute <inst> if C = 0 and Z = 1.,,,,,,,,
418,alias,Instruction Prefix,0010 ------- --- --------- ---------,IF_01         <inst>  <ops>,Execute <inst> if C = 0 and Z = 1.,,,,,,,,
419,.,Instruction Prefix,0011 ------- --- --------- ---------,IF_NC         <inst>  <ops>,Execute <inst> if C = 0.,,,,,,,,
420,alias,Instruction Prefix,0011 ------- --- --------- ---------,IF_AE         <inst>  <ops>,"Execute <inst> if C = 0, or if 'above or equal' after a comparison/subtraction.",,,,,,,,
421,alias,Instruction Prefix,0011 ------- --- --------- ---------,IF_0X         <inst>  <ops>,Execute <inst> if C = 0.,,,,,,,,
422,.,Instruction Prefix,0100 ------- --- --------- ---------,IF_C_AND_NZ   <inst>  <ops>,Execute <inst> if C = 1 and Z = 0.,,,,,,,,
423,alias,Instruction Prefix,0100 ------- --- --------- ---------,IF_NZ_AND_C   <inst>  <ops>,Execute <inst> if C = 1 and Z = 0.,,,,,,,,
424,alias,Instruction Prefix,0100 ------- --- --------- ---------,IF_10         <inst>  <ops>,Execute <inst> if C = 1 and Z = 0.,,,,,,,,
425,.,Instruction Prefix,0101 ------- --- --------- ---------,IF_NZ         <inst>  <ops>,Execute <inst> if Z = 0.,,,,,,,,
426,alias,Instruction Prefix,0101 ------- --- --------- ---------,IF_NE         <inst>  <ops>,"Execute <inst> if Z = 0, or if 'not equal' after a comparison/subtraction.",,,,,,,,
427,alias,Instruction Prefix,0101 ------- --- --------- ---------,IF_X0         <inst>  <ops>,Execute <inst> if Z = 0.,,,,,,,,
428,.,Instruction Prefix,0110 ------- --- --------- ---------,IF_C_NE_Z     <inst>  <ops>,Execute <inst> if C != Z.,,,,,,,,
429,alias,Instruction Prefix,0110 ------- --- --------- ---------,IF_Z_NE_C     <inst>  <ops>,Execute <inst> if C != Z.,,,,,,,,
430,alias,Instruction Prefix,0110 ------- --- --------- ---------,IF_DIFF       <inst>  <ops>,Execute <inst> if C != Z.,,,,,,,,
431,.,Instruction Prefix,0111 ------- --- --------- ---------,IF_NC_OR_NZ   <inst>  <ops>,Execute <inst> if C = 0 or Z = 0.,,,,,,,,
432,alias,Instruction Prefix,0111 ------- --- --------- ---------,IF_NZ_OR_NC   <inst>  <ops>,Execute <inst> if C = 0 or Z = 0.,,,,,,,,
433,alias,Instruction Prefix,0111 ------- --- --------- ---------,IF_NOT_11     <inst>  <ops>,Execute <inst> if C = 0 or Z = 0.,,,,,,,,
434,.,Instruction Prefix,1000 ------- --- --------- ---------,IF_C_AND_Z    <inst>  <ops>,Execute <inst> if C = 1 and Z = 1.,,,,,,,,
435,alias,Instruction Prefix,1000 ------- --- --------- ---------,IF_Z_AND_C    <inst>  <ops>,Execute <inst> if C = 1 and Z = 1.,,,,,,,,
436,alias,Instruction Prefix,1000 ------- --- --------- ---------,IF_11         <inst>  <ops>,Execute <inst> if C = 1 and Z = 1.,,,,,,,,
437,.,Instruction Prefix,1001 ------- --- --------- ---------,IF_C_EQ_Z     <inst>  <ops>,Execute <inst> if C = Z.,,,,,,,,
438,alias,Instruction Prefix,1001 ------- --- --------- ---------,IF_Z_EQ_C     <inst>  <ops>,Execute <inst> if C = Z.,,,,,,,,
439,alias,Instruction Prefix,1001 ------- --- --------- ---------,IF_SAME       <inst>  <ops>,Execute <inst> if C = Z.,,,,,,,,
440,.,Instruction Prefix,1010 ------- --- --------- ---------,IF_Z          <inst>  <ops>,Execute <inst> if Z = 1.,,,,,,,,
441,alias,Instruction Prefix,1010 ------- --- --------- ---------,IF_E          <inst>  <ops>,"Execute <inst> if Z = 1, or if 'equal' after a comparison/subtraction.",,,,,,,,
442,alias,Instruction Prefix,1010 ------- --- --------- ---------,IF_X1         <inst>  <ops>,Execute <inst> if Z = 1.,,,,,,,,
443,.,Instruction Prefix,1011 ------- --- --------- ---------,IF_NC_OR_Z    <inst>  <ops>,Execute <inst> if C = 0 or Z = 1.,,,,,,,,
444,alias,Instruction Prefix,1011 ------- --- --------- ---------,IF_Z_OR_NC    <inst>  <ops>,Execute <inst> if C = 0 or Z = 1.,,,,,,,,
445,alias,Instruction Prefix,1011 ------- --- --------- ---------,IF_NOT_10     <inst>  <ops>,Execute <inst> if C = 0 or Z = 1.,,,,,,,,
446,.,Instruction Prefix,1100 ------- --- --------- ---------,IF_C          <inst>  <ops>,Execute <inst> if C = 1.,,,,,,,,
447,alias,Instruction Prefix,1100 ------- --- --------- ---------,IF_B          <inst>  <ops>,"Execute <inst> if C = 1, or if 'below' after a comparison/subtraction.",,,,,,,,
448,alias,Instruction Prefix,1100 ------- --- --------- ---------,IF_1X         <inst>  <ops>,Execute <inst> if C = 1.,,,,,,,,
449,.,Instruction Prefix,1101 ------- --- --------- ---------,IF_C_OR_NZ    <inst>  <ops>,Execute <inst> if C = 1 or Z = 0.,,,,,,,,
450,alias,Instruction Prefix,1101 ------- --- --------- ---------,IF_NZ_OR_C    <inst>  <ops>,Execute <inst> if C = 1 or Z = 0.,,,,,,,,
451,alias,Instruction Prefix,1101 ------- --- --------- ---------,IF_NOT_01     <inst>  <ops>,Execute <inst> if C = 1 or Z = 0.,,,,,,,,
452,.,Instruction Prefix,1110 ------- --- --------- ---------,IF_C_OR_Z     <inst>  <ops>,Execute <inst> if C = 1 or Z = 1.,,,,,,,,
453,alias,Instruction Prefix,1110 ------- --- --------- ---------,IF_Z_OR_C     <inst>  <ops>,Execute <inst> if C = 1 or Z = 1.,,,,,,,,
454,alias,Instruction Prefix,1110 ------- --- --------- ---------,IF_BE         <inst>  <ops>,"Execute <inst> if C = 1 or Z = 1, or if 'below or equal' after a comparison/subtraction.",,,,,,,,
455,alias,Instruction Prefix,1110 ------- --- --------- ---------,IF_NOT_00     <inst>  <ops>,Execute <inst> if C = 1 or Z = 1.,,,,,,,,
456,.,Instruction Prefix,1111 ------- --- --------- ---------,              <inst>  <ops>,Execute <inst> always. This is the default when no instruction prefix is expressed.,,,,,,,,